Year,Causes of Death,Number of Persons
2017,Ischaemic heart diseases (I20-I25),"18,745"
2017,Malignant neoplasms of digestive organs  (C15-C26),"13,250"
2017,Cerebrovascular diseases (I60-I69),"10,190"
2017,"Organic, including symptomatic, mental disorders (mostly dementia) (F00-F09)","9,640"
2017,Other forms of heart disease (I30-I52),"9,189"
2017,Malignant neoplasms of respiratory and intrathoracic organs  (C30-C39),"8,539"
2017,Chronic lower respiratory diseases (J40-J47),"8,382"
2017,Other degenerative diseases of the nervous system (mostly Alzheimer) (G30-G32),"4,880"
2017,Diabetes mellitus (E10-E14),"4,865"
2017,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue (C81-C96)","4,505"
2018,Ischaemic heart diseases (I20-I25),"17,756"
2018,Malignant neoplasms of digestive organs  (C15-C26),"13,651"
2018,Cerebrovascular diseases (I60-I69),"9,983"
2018,"Organic, including symptomatic, mental disorders (mostly dementia) (F00-F09)","9,701"
2018,Malignant neoplasms of respiratory and intrathoracic organs  (C30-C39),"8,879"
2018,Other forms of heart disease (I30-I52),"8,874"
2018,Chronic lower respiratory diseases (J40-J47),"7,908"
2018,Other degenerative diseases of the nervous system (mostly Alzheimer) (G30-G32),"4,881"
2018,Diabetes mellitus (E10-E14),"4,651"
2018,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue (C81-C96)","4,616"
2019,Ischaemic heart diseases (I20-I25),"18,244"
2019,Malignant neoplasms of digestive organs  (C15-C26),"13,998"
2019,"Organic, including symptomatic, mental disorders (mostly dementia) (F00-F09)","10,505"
2019,Cerebrovascular diseases (I60-I69),"9,891"
2019,Other forms of heart disease (I30-I52),"9,281"
2019,Malignant neoplasms of respiratory and intrathoracic organs  (C30-C39),"9,151"
2019,Chronic lower respiratory diseases (J40-J47),"8,372"
2019,Other degenerative diseases of the nervous system (mostly Alzheimer) (G30-G32),"5,247"
2019,Diabetes mellitus (E10-E14),"4,967"
2019,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue (C81-C96)","4,793"
2020,Ischaemic heart diseases (I20-I25),"16,587"
2020,Malignant neoplasms of digestive organs  (C15-C26),"14,043"
2020,"Organic, including symptomatic, mental disorders (mostly dementia) (F00-F09)","9,917"
2020,Cerebrovascular diseases (I60-I69),"9,470"
2020,Malignant neoplasms of respiratory and intrathoracic organs  (C30-C39),"8,727"
2020,Other forms of heart disease (I30-I52),"8,683"
2020,Chronic lower respiratory diseases (J40-J47),"7,102"
2020,Other degenerative diseases of the nervous system (mainly Alzheimer) (G30-G32),"5,346"
2020,Diabetes mellitus (E10-E14),"5,148"
2020,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue (C81-C96)","4,754"
